apprehensionstate	citizenshipcountry	arrestsbiden	arrests_perdaybiden	arreststrump	arrests_perdaytrump	popACS2023	popACS2024	ln2023	ln2024	predicted	predicted_level	pop_combined	pct_peryear_biden	pct_peryear_trump
"ALABAMA"	"BRAZIL"	1	.0019763	2	.0105263	1646		7.406104		7.751637	2325.376	2325.376	.0003102	.0016523
"ALABAMA"	"CHINA"	10	.0197628	3	.0157895	10355		9.245225		9.263822	10549.37	10549.37	.0006838	.0005463
"ALABAMA"	"COLOMBIA"	33	.0652174	19	.1	2949		7.989222		8.436029	4610.213	4610.213	.0051634	.0079172
"ALABAMA"	"CUBA"	14	.027668	15	.0789474	2740		7.915713		8.358318	4265.516	4265.516	.0023675	.0067555
"ALABAMA"	"DOMINICAN REPUBLIC"	11	.0217391	7	.0368421	1701		7.438972		7.441265	1704.906	1704.906	.0046541	.0078875
"ALABAMA"	"ECUADOR"	4	.0079051	6	.0315789	599		6.395262		6.66709	786.105	786.105	.0036705	.0146626
"ALABAMA"	"EL SALVADOR"	39	.0770751	55	.2894737	3583		8.183956		8.19834	3634.913	3634.913	.0077395	.0290675
"ALABAMA"	"GUATEMALA"	753	1.488142	705	3.710526	17945		9.795067		9.989164	21789.08	21789.08	.0249286	.0621569
"ALABAMA"	"HAITI"	7	.013834	16	.0842105	782		6.661855		6.984062	1079.294	1079.294	.0046784	.0284787
"ALABAMA"	"HONDURAS"	200	.3952569	224	1.178947	3737		8.226038		8.450781	4678.725	4678.725	.0308351	.0919729
"ALABAMA"	"INDIA"	10	.0197628	8	.0421053	8967		9.101307		9.147915	9394.831	9394.831	.0007678	.0016358
"ALABAMA"	"JAMAICA"	40	.0790514	34	.1789474	2376		7.773174		7.86837	2613.301	2613.301	.0110411	.0249936
"ALABAMA"	"MEXICO"	1059	2.092885	977	5.142105	53290		10.8835		10.9166	55083	55083	.0138682	.0340735
"ALABAMA"	"NICARAGUA"	43	.0849802	30	.1578947	438		6.082219		6.827543	922.9207	922.9207	.0336083	.0624448
"ALABAMA"	"PERU"	4	.0079051	3	.0157895	1005		6.912743		7.036194	1137.052	1137.052	.0025376	.0050685
"ALABAMA"	"ROMANIA"	7	.013834	9	.0473684	892		6.793466		6.728682	836.0447	836.0447	.0060396	.0206801
"ALABAMA"	"RUSSIA"	1	.0019763			1136		7.035269		6.844689	938.8812	938.8812	.0007683	
"ALABAMA"	"VENEZUELA"	40	.0790514	87	.4578947	2179		7.686621		8.448886	4669.867	4669.867	.0061787	.0357894
"ALASKA"	"BOLIVIA"	1	.0019763	1	.0052632	0								
"ALASKA"	"BRAZIL"	1	.0019763			472		6.156979		6.59105	728.5455	728.5455	.0009901	
"ALASKA"	"CHINA"	1	.0019763	1	.0052632	1605		7.380879		7.342774	1544.993	1544.993	.0004669	.0012434
"ALASKA"	"COLOMBIA"			1	.0052632	988		6.895683		7.429213	1684.481	1684.481		.0011404
"ALASKA"	"DOMINICAN REPUBLIC"	2	.0039526			970		6.877296		6.859459	952.8518	952.8518	.0015141	
"ALASKA"	"GUATEMALA"	5	.0098814	4	.0210526	270		5.598422		5.738663	310.6489	310.6489	.0116103	.024736
"ALASKA"	"HAITI"	1	.0019763			219		5.389072		5.71809	304.3231	304.3231	.0023703	
"ALASKA"	"HONDURAS"	2	.0039526			134		4.89784		5.237298	188.161	188.161	.0076673	
"ALASKA"	"MEXICO"	10	.0197628	18	.0947368	3276		8.094378		8.128504	3389.724	3389.724	.002128	.0102011
"ALASKA"	"NICARAGUA"	1	.0019763			91		4.510859		5.432757	228.7791	228.7791	.003153	
"ALASKA"	"PERU"	1	.0019763	1	.0052632	438		6.082219		6.209872	497.6377	497.6377	.0014495	.0038603
"ALASKA"	"ROMANIA"	1	.0019763			98		4.584968		4.501997	90.19707	90.19707	.0079974	
"ALASKA"	"RUSSIA"	1	.0019763			822		6.71174		6.496207	662.6234	662.6234	.0010886	
"ALASKA"	"VENEZUELA"			1	.0052632	226		5.420535		6.433881	622.5854	622.5854		.0030856
"ARIZONA"	"BRAZIL"	1	.0019763	1	.0052632	3778	6835	8.23695	8.829812	8.523593	5032.102	6835	.0001055	.0002811
"ARIZONA"	"CHINA"	8	.0158103	7	.0368421	28144	34064	10.24509	10.436	10.2941	29557.57	34064	.0001694	.0003948
"ARIZONA"	"COLOMBIA"	23	.0454545	40	.2105263	6615	8514	8.797095	9.049467	9.179835	9699.556	8514	.0019487	.0090254
"ARIZONA"	"CUBA"	30	.0592885	79	.4157895	8721	20386	9.073489	9.922604	9.392788	12001.51	20386	.0010615	.0074445
"ARIZONA"	"DOMINICAN REPUBLIC"	6	.0118577	9	.0473684	2410	4541	7.787382	8.420902	7.802163	2445.886	4541	.0009531	.0038074
"ARIZONA"	"ECUADOR"	17	.0335968	21	.1105263	1780	1361	7.484369	7.215975	7.742943	2305.247	1361	.0090102	.0296415
"ARIZONA"	"EL SALVADOR"	28	.055336	29	.1526316	10449	11023	9.254262	9.307739	9.291519	10845.65	11023	.0018323	.005054
"ARIZONA"	"GUATEMALA"	204	.4031621	315	1.657895	14583	13495	9.587612	9.510075	9.779047	17659.81	13495	.0109043	.0448412
"ARIZONA"	"HAITI"			4	.0210526	1750	2344	7.467371	7.759614	7.785268	2404.91	2344		.0032782
"ARIZONA"	"HONDURAS"	75	.1482213	73	.3842105	3735	4419	8.225503	8.393669	8.450264	4676.307	4419	.0122428	.031735
"ARIZONA"	"INDIA"	11	.0217391	15	.0789474	44743	52573	10.70869	10.86996	10.80099	49069.22	52573	.0001509	.0005481
"ARIZONA"	"JAMAICA"	2	.0039526	5	.0263158	2878	3057	7.964851	8.025189	8.059739	3164.464	3057	.0004719	.0031421
"ARIZONA"	"MEXICO"	2055	4.061265	2518	13.25263	487314	502830	13.09666	13.12801	13.12894	503297.5	502830	.002948	.00962
"ARIZONA"	"NICARAGUA"	30	.0592885	75	.3947369	2910	3387	7.975908	8.1277	8.508439	4956.42	3387	.0063892	.0425388
"ARIZONA"	"PERU"	7	.013834	5	.0263158	4477	4074	8.406709	8.312381	8.522602	5027.118	4074	.0012394	.0023577
"ARIZONA"	"ROMANIA"	5	.0098814	7	.0368421	5785	7431	8.663024	8.913416	8.613635	5506.228	7431	.0004854	.0018096
"ARIZONA"	"RUSSIA"	2	.0039526	2	.0105263	4213	3315	8.34593	8.106213	8.256444	3852.371	3315	.0004352	.001159
"ARIZONA"	"UZBEKISTAN"	2	.0039526			616	1492	6.423247	7.307873	6.386746	593.9208	1492	.0009669	
"ARIZONA"	"VENEZUELA"	67	.1324111	187	.9842106	2577	5441	7.854381	8.601718	8.598059	5421.125	5441	.0088826	.0660241
"ARKANSAS"	"BOLIVIA"			2	.0105263	142		4.955827		4.908454	135.4299	135.4299		.0283697
"ARKANSAS"	"BRAZIL"	1	.0019763			1610		7.383989		7.73109	2278.084	2278.084	.0003166	
"ARKANSAS"	"CHINA"	4	.0079051	3	.0157895	3624		8.195333		8.181999	3575.997	3575.997	.0008069	.0016116
"ARKANSAS"	"COLOMBIA"	29	.0573123	9	.0473684	719		6.577861		7.136596	1257.141	1257.141	.0166401	.013753
"ARKANSAS"	"CUBA"	10	.0197628	16	.0842105	789		6.670766		7.245962	1402.431	1402.431	.0051435	.0219168
"ARKANSAS"	"DOMINICAN REPUBLIC"	2	.0039526	5	.0263158	421		6.042633		5.994882	401.3694	401.3694	.0035944	.0239312
"ARKANSAS"	"ECUADOR"	9	.0177866	3	.0157895	319		5.765191		6.044688	421.866	421.866	.015389	.0136611
"ARKANSAS"	"EL SALVADOR"	180	.3557312	194	1.021053	16641		9.719625		9.766827	17445.32	17445.32	.0074428	.021363
"ARKANSAS"	"GUATEMALA"	218	.43083	344	1.810526	6398		8.763741		8.944603	7666.404	7666.404	.020512	.0861997
"ARKANSAS"	"HAITI"	1	.0019763	1	.0052632	416		6.030685		6.35627	576.0937	576.0937	.0012521	.0033346
"ARKANSAS"	"HONDURAS"	122	.2411067	153	.8052632	2189		7.6912		7.934378	2791.621	2791.621	.0315243	.1052869
"ARKANSAS"	"INDIA"			9	.0473684	9988		9.20914		9.258813	10496.67	10496.67		.0016471
"ARKANSAS"	"JAMAICA"	1	.0019763	1	.0052632	198		5.288267		5.387451	218.6453	218.6453	.0032992	.0087862
"ARKANSAS"	"MEXICO"	727	1.436759	784	4.126316	64745		11.07821		11.11123	66918.57	66918.57	.0078366	.0225065
"ARKANSAS"	"NICARAGUA"	166	.3280632	92	.4842105	338		5.823046		6.597493	733.2544	733.2544	.1633036	.2410307
"ARKANSAS"	"PERU"	5	.0098814	5	.0263158	474		6.161207		6.288461	538.324	538.324	.0066999	.0178429
"ARKANSAS"	"ROMANIA"	3	.0059289	3	.0157895	486		6.186209		6.116424	453.241	453.241	.0047746	.0127154
"ARKANSAS"	"RUSSIA"	1	.0019763	1	.0052632	339		5.826		5.542148	255.2255	255.2255	.0028263	.0075269
"ARKANSAS"	"VENEZUELA"	22	.0434783	81	.4263158	879		6.778785		7.641638	2083.153	2083.153	.0076181	.074697
"CALIFORNIA"	"BOLIVIA"	1	.0019763	4	.0210526	9260	11061	9.133459	9.311181	9.133053	9256.236	11061	.0000652	.0006947
"CALIFORNIA"	"BRAZIL"	7	.013834	23	.1210526	56186	53481	10.93642	10.88708	11.03173	61804.27	53481	.0000944	.0008262
"CALIFORNIA"	"CHINA"	55	.1086956	259	1.363158	964347	1.0e+06	13.77921	13.81947	13.9357	1127706	1003970	.0000395	.0004956
"CALIFORNIA"	"COLOMBIA"	238	.4703557	382	2.010526	62242	84662	11.03878	11.34642	11.24375	76400.82	84662	.0020278	.0086679
"CALIFORNIA"	"CUBA"	27	.0533597	47	.2473684	28501	25475	10.25769	10.14545	10.45087	34574.49	25475	.0007645	.0035442
"CALIFORNIA"	"DOMINICAN REPUBLIC"	24	.0474308	11	.0578947	7248	7929	8.888481	8.978282	8.942725	7652.022	7929	.0021834	.0026651
"CALIFORNIA"	"ECUADOR"	44	.0869565	78	.4105263	22224	24272	10.00893	10.09708	10.23678	27911.09	24272	.0013076	.0061735
"CALIFORNIA"	"EL SALVADOR"	370	.7312253	541	2.847368	436648	456336	12.98688	13.03098	13.10391	490856.8	456336	.0005849	.0022775
"CALIFORNIA"	"GUATEMALA"	485	.958498	1064	5.6	300751	335349	12.61404	12.72293	12.84431	378628.8	335349	.0010432	.0060951
"CALIFORNIA"	"HAITI"	5	.0098814	23	.1210526	5767	9270	8.659907	9.134539	8.971423	7874.801	9270	.0003891	.0047664
"CALIFORNIA"	"HONDURAS"	306	.6047431	345	1.815789	72986	73526	11.19802	11.20539	11.32033	82481.45	73526	.0030021	.009014
"CALIFORNIA"	"INDIA"	35	.06917	299	1.573684	547160	626214	13.2125	13.34745	13.37596	644327.4	626214	.0000403	.0009172
"CALIFORNIA"	"JAMAICA"	21	.041502	12	.0631579	15815	17002	9.668715	9.741086	9.760868	17341.68	17002	.000891	.0013559
"CALIFORNIA"	"MEXICO"	4766	9.418972	5380	28.31579	3849113	4.0e+06	15.16335	15.19046	15.19486	3972315	3954869	.0008693	.0026133
"CALIFORNIA"	"NICARAGUA"	446	.8814229	236	1.242105	62546	82585	11.04366	11.32158	11.23147	75468.1	82585	.0038956	.0054897
"CALIFORNIA"	"PERU"	132	.2608696	181	.9526316	73723	78279	11.20807	11.26803	11.30979	81616.74	78279	.0012164	.0044419
"CALIFORNIA"	"ROMANIA"	32	.0632411	47	.2473684	23348	23518	10.05827	10.06552	10.02037	22479.67	23518	.0009815	.0038392
"CALIFORNIA"	"RUSSIA"	69	.1363636	99	.5210527	76006	85962	11.23857	11.36166	11.37219	86872.28	85962	.000579	.0022124
"CALIFORNIA"	"UZBEKISTAN"	12	.0237154	8	.0421053	5795	9418	8.664751	9.150378	8.536433	5097.131	9418	.0009191	.0016318
"CALIFORNIA"	"VENEZUELA"	42	.083004	300	1.578947	19833	22879	9.895103	10.03797	10.41267	33278.58	22879	.0013242	.0251897
"COLORADO"	"BRAZIL"	1	.0019763	2	.0105263	5933	8880	8.688285	9.091557	8.942937	7653.642	8880	.0000812	.0004327
"COLORADO"	"CHINA"	5	.0098814	12	.0631579	21098	24379	9.956934	10.10148	9.997175	21964.33	24379	.0001479	.0009456
"COLORADO"	"COLOMBIA"	93	.1837945	170	.8947368	7403	11560	8.90964	9.355306	9.283455	10758.54	11560	.0058032	.0282508
"COLORADO"	"CUBA"	11	.0217391	35	.1842105	2649	9177	7.881938	9.124455	8.32814	4138.713	9177	.0008646	.0073267
"COLORADO"	"DOMINICAN REPUBLIC"			1	.0052632	2223	1899	7.706613	7.549083	7.718499	2249.58	1899		.0010116
"COLORADO"	"ECUADOR"	4	.0079051	6	.0315789	1328	2443	7.191429	7.800982	7.453569	1726.012	2443	.0011811	.0047181
"COLORADO"	"EL SALVADOR"	58	.1146245	80	.4210526	11051	9805	9.310276	9.190648	9.34873	11484.23	9805	.004267	.0156741
"COLORADO"	"GUATEMALA"	76	.1501976	122	.6421053	8329	8281	9.027498	9.021719	9.211745	10014.06	8281	.0066202	.0283019
"COLORADO"	"HAITI"	3	.0059289	3	.0157895	621	1711	6.431331	7.444833	6.754772	858.1442	1711	.0012648	.0033683
"COLORADO"	"HONDURAS"	119	.2351779	184	.968421	5761	7425	8.658866	8.912608	8.86869	7105.97	7425	.0115609	.0476059
"COLORADO"	"INDIA"	12	.0237154	5	.0263158	21997	26746	9.998661	10.19414	10.07078	23641.88	26746	.0003236	.0003591
"COLORADO"	"JAMAICA"	5	.0098814			2331	4291	7.754053	8.364275	7.849279	2563.886	4291	.0008405	
"COLORADO"	"MEXICO"	737	1.456522	906	4.768421	211455	211459	12.26177	12.26179	12.29435	218457.9	211459	.0025141	.0082308
"COLORADO"	"NICARAGUA"	54	.1067194	65	.3421053	1817	3071	7.504942	8.029758	8.090395	3262.976	3071	.012684	.0406605
"COLORADO"	"PERU"	17	.0335968	27	.1421053	5041	13255	8.52536	9.49213	8.640653	5657.021	13255	.0009251	.0039131
"COLORADO"	"ROMANIA"	4	.0079051	24	.1263158	1565	2267	7.355641	7.726213	7.295486	1473.633	2267	.0012728	.0203376
"COLORADO"	"RUSSIA"	2	.0039526	2	.0105263	7723	8366	8.951958	9.031931	8.909215	7399.85	8366	.0001724	.0004593
"COLORADO"	"UZBEKISTAN"			1	.0052632	665	1304	6.499787	7.173192	6.460151	639.1574	1304		.0014732
"COLORADO"	"VENEZUELA"	319	.6304348	407	2.142105	7142	21779	8.873748	9.988702	9.50448	13419.72	21779	.0105656	.0359001
"CONNECTICUT"	"BOLIVIA"	1	.0019763			661	435	6.493754	6.075346	6.463671	641.4115	435	.0016583	
"CONNECTICUT"	"BRAZIL"	15	.0296443	29	.1526316	25858	21674	10.16038	9.983869	10.31069	30052.05	21674	.0004992	.0025704
"CONNECTICUT"	"CHINA"	1	.0019763	5	.0263158	27285	27637	10.21409	10.22691	10.26215	28628.4	27637	.0000261	.0003476
"CONNECTICUT"	"COLOMBIA"	38	.0750988	15	.0789474	19024	19350	9.853456	9.870448	10.15242	25653.16	19350	.0014166	.0014892
"CONNECTICUT"	"CUBA"	2	.0039526			3434	2901	8.141481	7.972811	8.560041	5218.897	2901	.0004973	
"CONNECTICUT"	"DOMINICAN REPUBLIC"	24	.0474308	19	.1	29305	29874	10.28551	10.30474	10.38983	32527.03	29874	.0005795	.0012218
"CONNECTICUT"	"ECUADOR"	41	.0810277	94	.4947369	26854	31463	10.19817	10.35657	10.42372	33648.29	31463	.00094	.0057394
"CONNECTICUT"	"EL SALVADOR"	6	.0118577	5	.0263158	5904	11641	8.683385	9.362288	8.708442	6053.802	11641	.0003718	.0008251
"CONNECTICUT"	"GUATEMALA"	20	.0395257	53	.2789474	17241	22580	9.755046	10.02482	9.948629	20923.53	22580	.0006389	.0045091
"CONNECTICUT"	"HAITI"	4	.0079051	1	.0052632	15792	19429	9.667259	9.874522	9.973385	21447.96	19429	.0001485	.0000989
"CONNECTICUT"	"HONDURAS"	15	.0296443	24	.1263158	7464	7618	8.917847	8.93827	9.118745	9124.741	7618	.0014203	.0060521
"CONNECTICUT"	"INDIA"			6	.0315789	38836	43881	10.5671	10.68924	10.65538	42420.01	43881		.0002627
"CONNECTICUT"	"JAMAICA"	20	.0395257	14	.0736842	43120	48135	10.67174	10.78176	10.76229	47206.51	48135	.0002997	.0005587
"CONNECTICUT"	"MEXICO"	25	.0494071	41	.2157895	25621	21474	10.15117	9.974598	10.18453	26490.23	21474	.0008398	.0036678
"CONNECTICUT"	"NICARAGUA"	29	.0573123	9	.0473684	2421	3235	7.791936	8.081784	8.34514	4209.67	3235	.0064665	.0053445
"CONNECTICUT"	"PERU"	34	.0671937	24	.1263158	13785	20952	9.531337	9.949989	9.641541	15391.04	20952	.0011706	.0022005
"CONNECTICUT"	"ROMANIA"	1	.0019763	2	.0105263	2054	1269	7.627544	7.145985	7.569629	1938.42	1269	.0005684	.0030277
"CONNECTICUT"	"RUSSIA"			1	.0052632	6473	5928	8.775395	8.687442	8.719034	6118.267	5928		.0003241
"CONNECTICUT"	"VENEZUELA"	5	.0098814	12	.0631579	4551	3969	8.423102	8.286269	9.103765	8989.077	3969	.0009087	.0058082
"DC"	"CHINA"			1	.0052632	4148		8.330381		8.321155	4109.902	4109.902		.0004674
"DC"	"COLOMBIA"	1	.0019763	3	.0157895	2651		7.882692		8.337948	4179.504	4179.504	.0001726	.0013789
"DC"	"DOMINICAN REPUBLIC"			1	.0052632	1889		7.543803		7.549853	1900.464	1900.464		.0010108
"DC"	"EL SALVADOR"	9	.0177866	20	.1052632	10469		9.256174		9.293472	10866.85	10866.85	.0005974	.0035356
"DC"	"GUATEMALA"	3	.0059289	10	.0526316	1676		7.424165		7.587837	1974.039	1974.039	.0010962	.0097316
"DC"	"HAITI"			1	.0052632	668		6.504288		6.827339	922.7319	922.7319		.0020819
"DC"	"HONDURAS"	4	.0079051	20	.1052632	1598		7.376508		7.630532	2060.146	2060.146	.0014006	.0186497
"DC"	"MEXICO"	5	.0098814	2	.0105263	3953		8.28223		8.316286	4089.942	4089.942	.0008819	.0009394
"DC"	"NICARAGUA"			1	.0052632	348		5.852202		6.623373	752.4789	752.4789		.002553
"DC"	"PERU"			5	.0263158	1489		7.30586		7.427322	1681.3	1681.3		.005713
"DC"	"VENEZUELA"	5	.0098814	14	.0736842	1165		7.060476		7.892118	2676.106	2676.106	.0013477	.01005
